DEPTO_HECHO;MUNICIPIO_HECHO;FECHA_HECHO;;DESCRIPCION_CONDUCTA;MODALIDAD;CLASE_SITIO;ZONA;GENERO;PAIS_PERSONA;CARGO_PERSONA;;;Etapa;;;
BOLÍVAR;CARTAGENA (CT);01/19/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;HOTELES, RESIDENCIAS, Y SIMILARES.;RURAL;MASCULINO;ALEMANIA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);1/04/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;PLAYA;URBANA;FEMENINO;COLOMBIA;TURISTA NACIONAL;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);1/04/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;FRENTE CONJUNTO - VIA PUBLICA;URBANA;MASCULINO;CANADA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);01/23/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;TERMINAL DE TRANSPORTES;URBANA;MASCULINO;VENEZUELA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);2/04/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;COSQUILLEO;VIAS PUBLICAS;RURAL;MASCULINO;COLOMBIA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);02/24/2020 12:00:00 AM;;ARTÍCULO 246. ESTAFA;COMPRA DE PRODUCTO O ELEMENTO;VIAS PUBLICAS;URBANA;MASCULINO;ESTADOS UNIDOS;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);1/10/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;VIAS PUBLICAS;URBANA;MASCULINO;ARUBA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);01/21/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;HOTELES, RESIDENCIAS, Y SIMILARES.;RURAL;FEMENINO;COLOMBIA;TURISTA NACIONAL;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);1/08/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;PARQUES;RURAL;FEMENINO;ITALIA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);1/08/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;VIAS PUBLICAS;URBANA;FEMENINO;COLOMBIA;TURISTA NACIONAL;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);01/23/2020 12:00:00 AM;;ARTÍCULO 111. LESIONES PERSONALES;RIÑAS;HOTELES, RESIDENCIAS, Y SIMILARES.;URBANA;MASCULINO;SUECIA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);01/26/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;HOTELES, RESIDENCIAS, Y SIMILARES.;URBANA;MASCULINO;SUECIA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);01/26/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;AUDITORIOS;URBANA;MASCULINO;MEXICO;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);02/27/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;INTERIOR VEHICULO SERVICIO PUBLICO;URBANA;MASCULINO;ESPAÑA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);3/10/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;ROMPIMIENTO DE VIDRIO;VIAS PUBLICAS;URBANA;FEMENINO;COLOMBIA;TURISTA NACIONAL;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);01/23/2020 12:00:00 AM;;ARTÍCULO 111. LESIONES PERSONALES;RIÑAS;PLAYA;URBANA;MASCULINO;COLOMBIA;TURISTA NACIONAL;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);01/24/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;PARQUEADERO;URBANA;FEMENINO;COLOMBIA;TURISTA NACIONAL;;;Adultez;;;
